MainMenu/&StartingLevelRange	{0}-{1}
Encounter/&DLC_CR4_BadlandsBear_Title	Ведмідь Пустелі
Encounter/&DLC_CR12_BadlandsBears_Description	Група небезпечних ведмедів, які пристосувалися до Пустелю.
Encounter/&DLC_CR12_BadlandsBears_Title	Ведмеді Пустелі
Encounter/&DLC_CR6_MutantBear_Description	Монструозний і огидний мутант-ведмідь, який полює за їжею.
Encounter/&DLC_CR6_MutantBear_Title	Мутант ведмедя
Encounter/&DLC_CR13_MutantHoard_Description	Дивна група мутантських істот.
Encounter/&DLC_CR13_MutantHoard_Title	Мутантське натовп
Encounter/&DLC_CR3_MutantDirewolf_Description	Дивно мутований вовк-вбивця на полюванні.
Encounter/&DLC_CR3_MutantDirewolf_Title	Мутант вовка-вбивці
Encounter/&DLC_CR3_Winterwolf_Description	Одинокий зимовий вовк на полюванні.
Encounter/&DLC_CR3_Winterwolf_Title	Зимовий вовк
Encounter/&DLC_CR6_WinterWolfpackleader_Description	Зграя вовків, яку очолює смертоносний зимовий вовк.
Encounter/&DLC_CR6_WinterWolfpackleader_Title	Вождь зграї зимових вовків
Encounter/&DLC_CR10_WightLordTroop_Description	Неживий володар із супроводом, який шукає життя, щоб їх знищити.
Encounter/&DLC_CR10_WightLordTroop_Title	Загін володаря вампірів
Encounter/&DLC_CR12_WightSquad_Description	Володар вампірів і його послідовники полюють на живу здобич.
Encounter/&DLC_CR12_WightSquad_Title	Загін вампірів
Encounter/&DLC_CR5_DeathSquad_Description	Група нежиті шукає життя, яке можна знищити.
Encounter/&DLC_CR5_DeathSquad_Title	Загін смерті
Encounter/&DLC_CR8_DeathTroop_Description	Група потужних скелетів, що полюють на живих.
Encounter/&DLC_CR8_DeathTroop_Title	Загін смерті
Encounter/&DLC_CR12_DeathArmy_Description	Група потужних скелетів, що полюють на живих.
Encounter/&DLC_CR12_DeathArmy_Title	Армія смерті
Encounter/&DLC_CR5_Roaming Zombies_Description	Група повільних, але неспокійних зомбі на полюванні за м'ясом.
Encounter/&DLC_CR5_Roaming Zombies_Title	Блукаючі зомбі
Encounter/&DLC_CR4_Roaming Ghouls_Description	Гули шукають м'ясо, щоб з'їсти.
Encounter/&DLC_CR4_Roaming Ghouls_Title	Блукаючі гули
Encounter/&DLC_CR6_Ghoul Squad_Description	М'ясоїди на полюванні за наступним обідом.
Encounter/&DLC_CR6_Ghoul Squad_Title	Гулі-команда
Encounter/&DLC_CR9_Flesh Eaters_Description	М'ясоїди на полюванні за наступною стравою.
Encounter/&DLC_CR9_Flesh Eaters_Title	М'ясоїди
Encounter/&DLC_CR8_AngryGhosts_Description	Блукаючі привиди, які шукають помсти живим.
Encounter/&DLC_CR8_AngryGhosts_Title	Гнівливі привиди
Encounter/&DLC_CR9_GhostlyAvengers_Description	Блукаючі привиди, які шукають помсти живим.
Encounter/&DLC_CR9_GhostlyAvengers_Title	Примарні мстивці
Encounter/&DLC_CR10_GhostlyCouple_Description	Блукаючі привиди, які шукають помсти живим.
Encounter/&DLC_CR10_GhostlyCouple_Title	Примарна пара
Encounter/&DLC_CR12_GhostSlaver_Description	Привид невільничого торговця та його слуга-мінотавр.
Encounter/&DLC_CR12_GhostSlaver_Title	Примарний невільничий торговець
Encounter/&DLC_CR5_RoamingGiant_Description	Блукаючий гігант із голодом до вбивства.
Encounter/&DLC_CR5_RoamingGiant_Title	Блукаючий гігант
Encounter/&DLC_CR9_FireGiant_Description	Блукаючий гігант із голодом до вбивства.
Encounter/&DLC_CR9_FireGiant_Title	Вогняний гігант
Encounter/&DLC_CR8_FrostGiant_Description	Блукаючий гігант із голодом до вбивства.
Encounter/&DLC_CR8_FrostGiant_Title	Сніжний велетень
Encounter/&DLC_CR14_GiantBand_Description	Жахлива група велетнів, готова знищити все на своєму шляху.
Encounter/&DLC_CR14_GiantBand_Title	Банда велетнів
Encounter/&DLC_CR10_MasterlessGolem_Description	Голем без господаря, готовий знищити все, що зустріне.
Encounter/&DLC_CR10_MasterlessGolem_Title	Безгосподарський голем
Encounter/&DLC_CR6_WanderingMummies_Description	Блукаючі мумії, які бажають служити смерті.
Encounter/&DLC_CR6_WanderingMummies_Title	Блукаючі мумії
Encounter/&DLC_CR12_Mummified Avengers_Description	Неживий чарівник і його слуги.
Encounter/&DLC_CR12_Mummified Avengers_Title	Муміфіковані мстивці
Encounter/&DLC_CR5_Bulette_Description	Голодний піщаний акул з порожнім шлунком.
Encounter/&DLC_CR5_Bulette_Title	Булетт
Encounter/&DLC_CR6_InvisibleStalker_Description	Магічний вбивця без цілі.
Encounter/&DLC_CR6_InvisibleStalker_Title	Невидимий слідопит
Encounter/&DLC_CR4_Giant Crows_Description	Літаючі мародерки з голодом до гнилих кісток.
Encounter/&DLC_CR4_Giant Crows_Title	Гігантські ворони
Encounter/&DLC_CR5_Troll_Description	Блукаючий троль, який чешеся на бійку.
Encounter/&DLC_CR5_Troll_Title	Троль
Encounter/&DLC_CR15_TrollBand_Description	Тріо смертоносних тролів.
Encounter/&DLC_CR15_TrollBand_Title	Банда тролів
Encounter/&DLC_CR8_MutantTroll_Description	Дивний і жахливий мутант-троль на полюванні.
Encounter/&DLC_CR8_MutantTroll_Title	Мутант Троль
Encounter/&DLC_CR4,25_BadlandEagles_Description	Група хижаків з Поганих Земель на полюванні.
Encounter/&DLC_CR4,25_BadlandEagles_Title	Орли Поганих Земель
Encounter/&DLC_CR10_HagAndEscort_Description	Зла відьма готує ганебні вчинки зі своїм слугою-огром.
Encounter/&DLC_CR10_HagAndEscort_Title	Відьма та супроводження
Encounter/&DLC_CR9_GiantLord_Description	Гігант і його слуга-огр.
Encounter/&DLC_CR9_GiantLord_Title	Володар гігантів
Encounter/&DLC_CR7_Specters_Description	Привиди, що полюють на живих.
Encounter/&DLC_CR7_Specters_Title	Примари
Encounter/&DLC_CR6_PhaseSpiders_Description	Фазні павуки, що захищають свою територію.
Encounter/&DLC_CR6_PhaseSpiders_Title	Фазні павуки
Encounter/&DLC_CR9_PhaseSpidersTrio_Description	Фазні павуки захищають свою територію.
